Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Arara-Canindé,Ara ararauna,1,1,0.5317790508270264
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.7904192805290222
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.5259074568748474
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Bem-Te-Vi,Pitangus sulphuratus,171,171,0.9818482398986816
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,1,1,0.6032764315605164
Borralhara,Mackenziaena severa,3,3,0.7136973738670349
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,18,18,0.8970463871955872
Caneleiro-Preto,Pachyramphus polychopterus,18,18,0.7426974177360535
Cigarra-Bambu,Haplospiza unicolor,8,8,0.843791663646698
Cigarrinha-Do-Norte,Sporophila schistacea,1,1,0.5201944708824158
Cisqueiro-Do-Rio,Clibanornis rectirostris,3,3,0.8798730373382568
Coró-Coró,Mesembrinibis cayennensis,6,6,0.9965543746948242
Curicaca,Theristicus caudatus,1,1,0.45465636253356934
Fim-Fim,Euphonia chlorotica,32,32,0.9547396898269653
Gavião-Carijó,Rupornis magnirostris,3,3,0.5755434632301331
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,5,5,0.8743800520896912
Guaracava-De-Crista-Branca,Elaenia albiceps,2,2,0.6115831136703491
Jacurutu,Bubo virginianus,6,6,0.7216857671737671
Jaó,Crypturellus undulatus,10,10,0.6455149054527283
João-De-Barro,Furnarius rufus,1,1,0.7798624634742737
Juriti-Pupu,Leptotila verreauxi,12,12,0.8670260310173035
Maçarico-Pintado,Actitis macularius,4,4,0.717252254486084
Maracanã-Do-Buriti,Orthopsittaca manilatus,1,1,0.5259460806846619
Maria-Cavaleira,Myiarchus ferox,5,5,0.9242019653320312
Murucututu,Pulsatrix perspicillata,1,1,0.6770228743553162
Negrinho-Do-Mato,Amaurospiza moesta,1,1,0.5982640981674194
Neinei,Megarynchus pitangua,8,8,0.9619322419166565
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.47531023621559143
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,24,24,0.9687820076942444
Petrim,Synallaxis frontalis,8,8,0.952190101146698
Picapauzinho-Barrado,Picumnus cirratus,2,2,0.688270092010498
Pitiguari,Cyclarhis gujanensis,4,4,0.6627806425094604
Pula-Pula,Basileuterus culicivorus,21,21,0.9645068049430847
Quero-Quero,Vanellus chilensis,4,4,0.8680832386016846
Risadinha,Camptostoma obsoletum,1,1,0.5441809296607971
Sabiá-Barranco,Turdus leucomelas,14,14,0.8289012312889099
Saíra-Amarela,Stilpnia cayana,1,1,0.5965202450752258
Sanhaço-Cinzento,Thraupis sayaca,3,3,0.6639552116394043
Sanhaço-Do-Coqueiro,Thraupis palmarum,5,5,0.7083404660224915
Sanhaço-Frade,Stephanophorus diadematus,1,1,0.5310097932815552
Saracura-Sanã,Pardirallus nigricans,1,1,0.4520634114742279
Saracura-Três-Potes,Aramides cajaneus,130,130,0.9998891353607178
Suiriri,Tyrannus melancholicus,15,15,0.8523353338241577
Suiriri-Valente,Tyrannus tyrannus,1,1,0.4684300422668457
Tapaculo-Preto,Scytalopus speluncae,1,1,0.7161974906921387
Tem-Farinha-Aí,Myrmorchilus strigilatus,1,1,0.7614685893058777
Trepador-Quiete,Syndactyla rufosuperciliata,1,1,0.5532458424568176
Tucanuçu,Ramphastos toco,5,5,0.8144635558128357
Yellow-Headed Caracara,Milvago chimachima,4,4,0.9974435567855835
