Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abana-Rabo-Da-Serra,Parkesia motacilla,2,2,0.46330633759498596
Abetouro,Botaurus stellaris,338,338,0.9812368154525757
Águia-D'Asa-Redonda,Buteo buteo,1,1,0.48389533162117004
Akohekohe,Palmeria dolei,2,2,0.800532877445221
Alcaravão,Burhinus oedicnemus,2,2,0.698086142539978
Alegrinho,Serpophaga subcristata,4,4,0.9771177768707275
Alfaiate,Recurvirostra avosetta,1,1,0.47288140654563904
Alvéola-Amarela,Motacilla flava,1,1,0.5749484896659851
Alvéola-Branca,Motacilla alba,2,2,0.7870540618896484
Alvéola-Cinzenta,Motacilla cinerea,11,11,0.9519490003585815
American Goldfinch,Spinus tristis,1,1,0.8063379526138306
Andean Swift,Aeronautes andecolus,1,1,0.5358200669288635
Andorinhão-Preto,Apus apus,41,41,0.9506816864013672
Anna's Hummingbird,Calypte anna,36,36,0.7783598899841309
Arara-Canindé,Ara ararauna,1,1,0.5317790508270264
Aratinga-De-Testa-Azul,Thectocercus acuticaudatus,1,1,0.48693928122520447
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,14,14,0.8768901228904724
Ash-Browed Spinetail,Cranioleuca curtata,1,1,0.6744822263717651
Ash-Throated Flycatcher,Myiarchus cinerascens,2,2,0.5489009618759155
Austral Parakeet,Enicognathus ferrugineus,1,1,0.6919796466827393
Austral Pygmy-Owl,Glaucidium nana,2,2,0.794260561466217
Austral Thrush,Turdus falcklandii,2,2,0.7355958223342896
Australian Magpie,Gymnorhina tibicen,1,1,0.5288057327270508
Bacurau-De-Asa-Fina,Chordeiles acutipennis,1,1,0.5701910257339478
Bacurau-Norte-Americano,Chordeiles minor,3,3,0.8713130354881287
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Band-Tailed Seedeater,Catamenia analis,1,1,0.4714963138103485
Bare-Crowned Antbird,Gymnocichla nudiceps,1,1,0.4569806754589081
Barred Owl,Strix varia,2,2,0.6306595206260681
Beija-Flor-Violeta,Colibri coruscans,2,2,0.902342677116394
Bem-Te-Vi,Pitangus sulphuratus,468,468,0.9905567765235901
Bicknell's Thrush,Catharus bicknelli,2,2,0.7216204404830933
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,2,2,0.638979971408844
Bico-Grossudo,Coccothraustes coccothraustes,4,4,0.7517819404602051
Bico-Grossudo-Americano,Coccothraustes vespertinus,4,4,0.9325314164161682
Black-Banded Owl,Ciccaba huhula,1,1,0.7140822410583496
Black-Capped Gnatcatcher,Polioptila nigriceps,1,1,0.4518667459487915
Black-Capped Vireo,Vireo atricapilla,1,1,0.4645773768424988
Black-Crested Bulbul,Rubigula flaviventris,1,1,0.589966356754303
Black-Crowned Antpitta,Pittasoma michleri,1,1,0.5576594471931458
Black-Faced Grassquit,Melanospiza bicolor,1,1,0.4714258313179016
Black-Headed Grosbeak,Pheucticus melanocephalus,2,2,0.5565363764762878
Black-Headed Honeyeater,Melithreptus affinis,1,1,0.567283034324646
Black-Streaked Puffbird,Malacoptila fulvogularis,12,12,0.9122110605239868
