Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Alegrinho,Serpophaga subcristata,4,4,0.9771177768707275
Arara-Canindé,Ara ararauna,1,1,0.5317790508270264
Aratinga-De-Testa-Azul,Thectocercus acuticaudatus,1,1,0.48693928122520447
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,14,14,0.8768901228904724
Bacurau-De-Asa-Fina,Chordeiles acutipennis,1,1,0.5701910257339478
Bacurau-Norte-Americano,Chordeiles minor,3,3,0.8713130354881287
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Bem-Te-Vi,Pitangus sulphuratus,468,468,0.9905567765235901
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,2,2,0.638979971408844
Black-Banded Owl,Ciccaba huhula,1,1,0.7140822410583496
Borralhara,Mackenziaena severa,4,4,0.955348789691925
Borralhara-Assobiadora,Mackenziaena leachii,3,3,0.8319758772850037
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,31,31,0.9320254325866699
Caneleiro-Preto,Pachyramphus polychopterus,25,25,0.7426974177360535
Catatau,Campylorhynchus turdinus,1,1,0.5067020058631897
Chibum,Elaenia chiriquensis,1,1,0.4704379439353943
Choquinha-De-Garganta-Pintada,Rhopias gularis,1,1,0.524869978427887
Chorozinho-De-Bico-Comprido,Herpsilochmus longirostris,1,1,0.671488881111145
Cigarra-Bambu,Haplospiza unicolor,10,10,0.843791663646698
Cigarra-Preta,Asemospiza fuliginosa,1,1,0.49717456102371216
Cigarrinha-Do-Norte,Sporophila schistacea,1,1,0.5201944708824158
Cisqueiro-Do-Rio,Clibanornis rectirostris,3,3,0.8798730373382568
Coleirinho,Sporophila caerulescens,1,1,0.4582406282424927
Coró-Coró,Mesembrinibis cayennensis,7,7,0.9965543746948242
Curicaca,Theristicus caudatus,3,3,0.5329733490943909
Enferrujado,Lathrotriccus euleri,1,1,0.6483197212219238
Falcão-Peregrino,Falco peregrinus,1,1,0.6898728609085083
Ferreirinho-Relógio,Todirostrum cinereum,5,5,0.8660582304000854
Fim-Fim,Euphonia chlorotica,52,52,0.9547396898269653
Garça-Branca-Grande,Ardea alba,2,2,0.7356360554695129
Garrinchão-De-Bico-Grande,Cantorchilus longirostris,1,1,0.49632176756858826
Gavião-Carijó,Rupornis magnirostris,18,18,0.9844399690628052
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,7,7,0.8743800520896912
Guaracava-De-Crista-Branca,Elaenia albiceps,4,4,0.9421278834342957
