Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abetouro,Botaurus stellaris,41,41,0.9008533954620361
Akohekohe,Palmeria dolei,2,2,0.800532877445221
Alvéola-Amarela,Motacilla flava,1,1,0.5749484896659851
Alvéola-Cinzenta,Motacilla cinerea,2,2,0.705485999584198
Andorinhão-Preto,Apus apus,7,7,0.8958337306976318
Anna's Hummingbird,Calypte anna,3,3,0.5619156360626221
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.7904192805290222
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.5259074568748474
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Bem-Te-Vi,Pitangus sulphuratus,59,59,0.9818482398986816
Bicknell's Thrush,Catharus bicknelli,1,1,0.5073319673538208
Black-Crowned Antpitta,Pittasoma michleri,1,1,0.5576594471931458
Black-Headed Grosbeak,Pheucticus melanocephalus,1,1,0.5104995369911194
Black-Headed Honeyeater,Melithreptus affinis,1,1,0.567283034324646
Blue-Throated Goldentail,Chlorestes eliciae,1,1,0.49607110023498535
Borralhara,Mackenziaena severa,1,1,0.7136973738670349
Broad-Tailed Hummingbird,Selasphorus platycercus,12,12,0.7205833196640015
Brown-Headed Barbet,Psilopogon zeylanicus,1,1,0.6688498854637146
Brown-Headed Nuthatch,Sitta pusilla,2,2,0.7992338538169861
Bushtit,Psaltriparus minimus,1,1,0.5620198249816895
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,6,6,0.7749443054199219
Caneleiro-Preto,Pachyramphus polychopterus,13,13,0.7426974177360535
Canyon Wren,Catherpes mexicanus,1,1,0.45429882407188416
Carolina Wren,Thryothorus ludovicianus,6,6,0.7835188508033752
Carriça,Troglodytes troglodytes,1,1,0.5021555423736572
Chapim-Rabilongo,Aegithalos caudatus,2,2,0.7946892976760864
Cia,Emberiza cia,2,2,0.6904016137123108
Cigarra-Bambu,Haplospiza unicolor,4,4,0.7705326080322266
Cigarrinha-Ruiva,Locustella luscinioides,5,5,0.7940840125083923
Common Snipe,Gallinago gallinago,1,1,0.7995062470436096
Coró-Coró,Mesembrinibis cayennensis,6,6,0.9965543746948242
Cotovia-Das-Árvores,Lullula arborea,1,1,0.7325723767280579
Downy Woodpecker,Dryobates pubescens,1,1,0.46413740515708923
Escrevedeira-Dos-Caniços,Emberiza schoeniclus,6,6,0.7139130234718323
Estrelinha-De-Fogo,Corthylio calendula,1,1,0.5465609431266785
Estrelinha-De-Poupa,Regulus regulus,2,2,0.8171010613441467
Felosa-Musical,Phylloscopus trochilus,1,1,0.48034244775772095
Felosinha-Ibérica,Phylloscopus ibericus,1,1,0.8353136777877808
Ferreirinha,Prunella modularis,1,1,0.6049302816390991
Fim-Fim,Euphonia chlorotica,1,1,0.6297780871391296
Franga-D'Água-Malhada,Porzana porzana,364,364,0.9735865592956543
Frango-D'Água,Rallus aquaticus,40,40,0.9912967681884766
Galinha-Montês,Tetrastes bonasia,1,1,0.5896215438842773
Gavião-Carijó,Rupornis magnirostris,1,1,0.502972424030304
Golden-Crowned Kinglet,Regulus satrapa,1,1,0.6291884183883667
Gray-Breasted Wood-Wren,Henicorhina leucophrys,10,10,0.9764025211334229
Green Parakeet,Psittacara holochlorus,1,1,0.46903371810913086
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,3,3,0.8743800520896912
Guarda-Rios,Alcedo atthis,1,1,0.65848708152771
Guarda-Rios-Cintado,Megaceryle alcyon,1,1,0.7900245189666748
Jacurutu,Bubo virginianus,6,6,0.7216857671737671
Jaó,Crypturellus undulatus,6,6,0.6455149054527283
Juriti-Pupu,Leptotila verreauxi,3,3,0.5848609805107117
Little Hermit,Phaethornis longuemareus,1,1,0.7792723178863525
Maçarico-Das-Rochas,Actitis hypoleucos,1,1,0.8931851387023926
Madagascar Scops-Owl,Otus rutilus,1,1,0.778462827205658
Maracanã-Do-Buriti,Orthopsittaca manilatus,1,1,0.5259460806846619
