Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.7904192805290222
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.5259074568748474
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Bem-Te-Vi,Pitangus sulphuratus,59,59,0.9818482398986816
Borralhara,Mackenziaena severa,1,1,0.7136973738670349
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,6,6,0.7749443054199219
Caneleiro-Preto,Pachyramphus polychopterus,13,13,0.7426974177360535
Cigarra-Bambu,Haplospiza unicolor,4,4,0.7705326080322266
Coró-Coró,Mesembrinibis cayennensis,6,6,0.9965543746948242
Fim-Fim,Euphonia chlorotica,1,1,0.6297780871391296
Gavião-Carijó,Rupornis magnirostris,1,1,0.502972424030304
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,3,3,0.8743800520896912
Jacurutu,Bubo virginianus,6,6,0.7216857671737671
Jaó,Crypturellus undulatus,6,6,0.6455149054527283
Juriti-Pupu,Leptotila verreauxi,3,3,0.5848609805107117
Maracanã-Do-Buriti,Orthopsittaca manilatus,1,1,0.5259460806846619
Maria-Cavaleira,Myiarchus ferox,2,2,0.7263954877853394
Murucututu,Pulsatrix perspicillata,1,1,0.6770228743553162
Negrinho-Do-Mato,Amaurospiza moesta,1,1,0.5982640981674194
Neinei,Megarynchus pitangua,2,2,0.9619322419166565
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.47531023621559143
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,13,13,0.8832399845123291
Petrim,Synallaxis frontalis,8,8,0.952190101146698
Picapauzinho-Barrado,Picumnus cirratus,2,2,0.688270092010498
Pitiguari,Cyclarhis gujanensis,2,2,0.6375613808631897
Pula-Pula,Basileuterus culicivorus,6,6,0.545013427734375
Quero-Quero,Vanellus chilensis,2,2,0.8680832386016846
Sabiá-Barranco,Turdus leucomelas,6,6,0.8289012312889099
Sanhaço-Cinzento,Thraupis sayaca,2,2,0.6280255317687988
Sanhaço-Do-Coqueiro,Thraupis palmarum,5,5,0.7083404660224915
Sanhaço-Frade,Stephanophorus diadematus,1,1,0.5310097932815552
Saracura-Sanã,Pardirallus nigricans,1,1,0.4520634114742279
Saracura-Três-Potes,Aramides cajaneus,82,82,0.9993746280670166
Suiriri,Tyrannus melancholicus,1,1,0.6142148375511169
Tapaculo-Preto,Scytalopus speluncae,1,1,0.7161974906921387
Tem-Farinha-Aí,Myrmorchilus strigilatus,1,1,0.7614685893058777
Trepador-Quiete,Syndactyla rufosuperciliata,1,1,0.5532458424568176
Yellow-Headed Caracara,Milvago chimachima,1,1,0.6173179149627686
