Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Arara-Canindé,Ara ararauna,1,1,0.5317790508270264
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.7904192805290222
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.5259074568748474
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Bem-Te-Vi,Pitangus sulphuratus,213,213,0.9818482398986816
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,1,1,0.6032764315605164
Borralhara,Mackenziaena severa,3,3,0.7136973738670349
Borralhara-Assobiadora,Mackenziaena leachii,3,3,0.8319758772850037
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,27,27,0.9320254325866699
Caneleiro-Preto,Pachyramphus polychopterus,18,18,0.7426974177360535
Choquinha-De-Garganta-Pintada,Rhopias gularis,1,1,0.524869978427887
Cigarra-Bambu,Haplospiza unicolor,9,9,0.843791663646698
Cigarrinha-Do-Norte,Sporophila schistacea,1,1,0.5201944708824158
Cisqueiro-Do-Rio,Clibanornis rectirostris,3,3,0.8798730373382568
Coleirinho,Sporophila caerulescens,1,1,0.4582406282424927
Coró-Coró,Mesembrinibis cayennensis,6,6,0.9965543746948242
Curicaca,Theristicus caudatus,3,3,0.5329733490943909
Falcão-Peregrino,Falco peregrinus,1,1,0.6898728609085083
Ferreirinho-Relógio,Todirostrum cinereum,1,1,0.8660582304000854
Fim-Fim,Euphonia chlorotica,43,43,0.9547396898269653
Garça-Branca-Grande,Ardea alba,2,2,0.7356360554695129
Gavião-Carijó,Rupornis magnirostris,15,15,0.9844399690628052
Guaracava-De-Barriga-Amarela,Elaenia flavogaster,7,7,0.8743800520896912
Guaracava-De-Crista-Branca,Elaenia albiceps,3,3,0.6115831136703491
Jacurutu,Bubo virginianus,6,6,0.7216857671737671
Jaó,Crypturellus undulatus,10,10,0.6455149054527283
João-De-Barro,Furnarius rufus,1,1,0.7798624634742737
Juriti-Pupu,Leptotila verreauxi,12,12,0.8670260310173035
Maçarico-Pintado,Actitis macularius,4,4,0.717252254486084
Maracanã-Do-Buriti,Orthopsittaca manilatus,2,2,0.5259460806846619
Maria-Cavaleira,Myiarchus ferox,7,7,0.9763140082359314
Murucututu,Pulsatrix perspicillata,1,1,0.6770228743553162
Negrinho-Do-Mato,Amaurospiza moesta,1,1,0.5982640981674194
Neinei,Megarynchus pitangua,12,12,0.9932882189750671
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.47531023621559143
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,30,30,0.9687820076942444
Petrim,Synallaxis frontalis,8,8,0.952190101146698
Picapauzinho-Barrado,Picumnus cirratus,2,2,0.688270092010498
Pitiguari,Cyclarhis gujanensis,14,14,0.8645893335342407
Pula-Pula,Basileuterus culicivorus,27,27,0.9645068049430847
Quero-Quero,Vanellus chilensis,4,4,0.8680832386016846
Risadinha,Camptostoma obsoletum,2,2,0.5985052585601807
Sabiá-Barranco,Turdus leucomelas,17,17,0.9672011137008667
Sabiá-Laranjeira,Turdus rufiventris,1,1,0.5089954137802124
Saíra-Amarela,Stilpnia cayana,1,1,0.5965202450752258
Sanhaço-Cinzento,Thraupis sayaca,3,3,0.6639552116394043
Sanhaço-Do-Coqueiro,Thraupis palmarum,5,5,0.7083404660224915
Sanhaço-Frade,Stephanophorus diadematus,3,3,0.8197421431541443
Sanhaço-Montano/De-Fogo,Piranga flava,1,1,0.6275753974914551
Saracura-Sanã,Pardirallus nigricans,4,4,0.7825761437416077
Saracura-Três-Potes,Aramides cajaneus,143,143,0.9998891353607178
Serra Do Mar Tyrannulet,Phylloscartes difficilis,1,1,0.4530676007270813
Suiriri,Tyrannus melancholicus,17,17,0.9595485329627991
Suiriri-Valente,Tyrannus tyrannus,2,2,0.4684300422668457
Tapaculo-Preto,Scytalopus speluncae,1,1,0.7161974906921387
Tem-Farinha-Aí,Myrmorchilus strigilatus,1,1,0.7614685893058777
Trepador-Quiete,Syndactyla rufosuperciliata,2,2,0.6365228891372681
Trinta-Réis-De-Bando,Thalasseus sandvicensis,1,1,0.5832061767578125
Tucano-De-Bico-Preto,Ramphastos vitellinus,1,1,0.5055618286132812
Tucanuçu,Ramphastos toco,5,5,0.8144635558128357
Yellow-Headed Caracara,Milvago chimachima,5,5,0.9974435567855835
