Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abetouro,Botaurus stellaris,193,193,0.9664807319641113
Akohekohe,Palmeria dolei,2,2,0.800532877445221
Alvéola-Amarela,Motacilla flava,1,1,0.5749484896659851
Alvéola-Cinzenta,Motacilla cinerea,10,10,0.9519490003585815
American Goldfinch,Spinus tristis,1,1,0.8063379526138306
Andorinhão-Preto,Apus apus,28,28,0.9396593570709229
Anna's Hummingbird,Calypte anna,33,33,0.7783598899841309
Arara-Canindé,Ara ararauna,1,1,0.5317790508270264
Ariramba-De-Cauda-Ruiva,Galbula ruficauda,1,1,0.7904192805290222
Ash-Throated Flycatcher,Myiarchus cinerascens,1,1,0.5128767490386963
Bacurau-Norte-Americano,Chordeiles minor,1,1,0.5259074568748474
Baiano,Sporophila nigricollis,2,2,0.4627004861831665
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.5419399738311768
Barred Owl,Strix varia,2,2,0.6306595206260681
Bem-Te-Vi,Pitangus sulphuratus,213,213,0.9818482398986816
Bicknell's Thrush,Catharus bicknelli,1,1,0.5073319673538208
Bico-Chato-De-Orelha-Preta,Tolmomyias sulphurescens,1,1,0.6032764315605164
Bico-Grossudo,Coccothraustes coccothraustes,2,2,0.6746414303779602
Bico-Grossudo-Americano,Coccothraustes vespertinus,3,3,0.9325314164161682
Black-Crested Bulbul,Rubigula flaviventris,1,1,0.589966356754303
Black-Crowned Antpitta,Pittasoma michleri,1,1,0.5576594471931458
Black-Faced Grassquit,Melanospiza bicolor,1,1,0.4714258313179016
Black-Headed Grosbeak,Pheucticus melanocephalus,2,2,0.5565363764762878
Black-Headed Honeyeater,Melithreptus affinis,1,1,0.567283034324646
Black-Streaked Puffbird,Malacoptila fulvogularis,2,2,0.6424717307090759
Blue-Faced Parrotfinch,Erythrura trichroa,1,1,0.8813128471374512
Blue-Throated Goldentail,Chlorestes eliciae,2,2,0.49607110023498535
Borralhara,Mackenziaena severa,3,3,0.7136973738670349
Borralhara-Assobiadora,Mackenziaena leachii,3,3,0.8319758772850037
Broad-Tailed Hummingbird,Selasphorus platycercus,90,90,0.9234826564788818
Brown Jay,Psilorhinus morio,1,1,0.5293830037117004
Brown-Headed Barbet,Psilopogon zeylanicus,1,1,0.6688498854637146
Brown-Headed Nuthatch,Sitta pusilla,2,2,0.7992338538169861
Buff-Tailed Coronet,Boissonneaua flavescens,1,1,0.5018749833106995
Bushtit,Psaltriparus minimus,1,1,0.5620198249816895
Bútio-Vespeiro-Ocidental,Pernis apivorus,1,1,0.8474017977714539
Cabecinha-Castanha,Thlypopsis pyrrhocoma,1,1,0.5396379828453064
Caburé-Acanelado,Aegolius harrisii,2,2,0.9575983881950378
Cambacica,Coereba flaveola,26,26,0.9320254325866699
Caneleiro-Preto,Pachyramphus polychopterus,18,18,0.7426974177360535
Canyon Wren,Catherpes mexicanus,8,8,0.7084598541259766
Carolina Wren,Thryothorus ludovicianus,37,37,0.9639860987663269
Carriça,Troglodytes troglodytes,3,3,0.5491447448730469
Chapim-Carvoeiro,Periparus ater,1,1,0.807645320892334
Chapim-De-Poupa,Lophophanes cristatus,1,1,0.7147253751754761
Chapim-Montês,Poecile montanus,2,2,0.7676880955696106
Chapim-Rabilongo,Aegithalos caudatus,2,2,0.7946892976760864
Chapim-Real,Parus major,1,1,0.47533977031707764
Checker-Throated Stipplethroat,Epinecrophylla fulviventris,1,1,0.7882015705108643
Chestnut-Backed Chickadee,Poecile rufescens,1,1,0.6256713271141052
Choquinha-De-Garganta-Pintada,Rhopias gularis,1,1,0.524869978427887
Cia,Emberiza cia,2,2,0.6904016137123108
Cigarra-Bambu,Haplospiza unicolor,9,9,0.843791663646698
Cigarrinha-Do-Norte,Sporophila schistacea,1,1,0.5201944708824158
Cigarrinha-Ruiva,Locustella luscinioides,100,100,0.9704470038414001
