Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abetouro,Botaurus stellaris,460,460,0.961113691329956
Akohekohe,Palmeria dolei,8,8,0.9492658376693726
Alcaravão,Burhinus oedicnemus,1,1,0.6298990249633789
Alström's Warbler,Phylloscopus soror,1,1,0.5026628375053406
Andorinhão-Preto,Apus apus,3,3,0.6565935611724854
Asian Emerald Dove,Chalcophaps indica,1,1,0.6303799748420715
Bacurau-De-Asa-Fina,Chordeiles acutipennis,3,3,0.8014328479766846
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,26,26,0.9720517992973328
Bico-Grossudo,Coccothraustes coccothraustes,1,1,0.6480955481529236
Black-Streaked Puffbird,Malacoptila fulvogularis,7,7,0.9193063378334045
Brown-Cheeked Fulvetta,Alcippe poioicephala,1,1,0.49722737073898315
Brown-Cheeked Rail,Rallus indicus,1,1,0.6840174198150635
Brown-Headed Nuthatch,Sitta pusilla,3,3,0.858173131942749
Bufo-Pequeno,Asio otus,2,2,0.852691113948822
Bufo-Real,Bubo bubo,4,4,0.6492519378662109
Cambacica,Coereba flaveola,1,1,0.6245142817497253
Cartaxo,Saxicola rubicola,1,1,0.5309728384017944
Chapim-De-Mascarilha,Remiz pendulinus,1,1,0.6338320970535278
Chapim-Palustre,Poecile palustris,1,1,0.6350837349891663
Cigarrinha-Ruiva,Locustella luscinioides,3,3,0.6313897967338562
Clark's Nutcracker,Nucifraga columbiana,1,1,0.5155518054962158
Collared Aracari,Pteroglossus torquatus,1,1,0.5213237404823303
Corvo,Corvus corax,1,1,0.608226478099823
Cotovia-Das-Árvores,Lullula arborea,2,2,0.7213364243507385
Cotovia-Escura,Galerida theklae,1,1,0.551060140132904
Escrevedeira-Amarela,Emberiza citrinella,2,2,0.6679768562316895
Felosa-Assobiadeira,Phylloscopus sibilatrix,1,1,0.5838454961776733
Felosa-Dos-Juncos,Acrocephalus schoenobaenus,1,1,0.7921603918075562
Ferreirinha-Siberiana,Prunella montanella,1,1,0.729873776435852
Ferruginous Flycatcher,Muscicapa ferruginea,1,1,0.4710055887699127
Filipe,Myiophobus fasciatus,1,1,0.5300602316856384
Flammulated Owl,Psiloscops flammeolus,1,1,0.5369113087654114
Fork-Tailed Sunbird,Aethopyga christinae,2,2,0.5551015734672546
Francelho,Falco naumanni,1,1,0.4672609269618988
Frango-D'Água,Rallus aquaticus,1,1,0.49840566515922546
Galinhola,Scolopax rusticola,3,3,0.5700165629386902
Galinhola Americana,Scolopax minor,1,1,0.47334662079811096
Garça-Moura-Europeia,Ardea cinerea,1,1,0.8864238262176514
Guácharo,Steatornis caripensis,88,88,0.9953052401542664
Guaracava-De-Topete-Uniforme,Elaenia cristata,1,1,0.5683244466781616
Helmeted Curassow,Pauxi pauxi,1,1,0.5548399090766907
Jacurutu,Bubo virginianus,5,5,0.9740128517150879
Junco,Junco hyemalis,4,4,0.5480511784553528
Lesser Yellownape,Picus chlorolophus,3,3,0.7338806390762329
Maçarico-Das-Rochas,Actitis hypoleucos,9,9,0.6464026570320129
Maria-Cavaleira,Myiarchus ferox,1,1,0.468379944562912
Marrequinha,Anas crecca,1,1,0.5818195939064026
Middle American Screech-Owl,Megascops guatemalae,9,9,0.7231534123420715
Mobelha-Grande,Gavia immer,1,1,0.8440211415290833
Mocho-D'Orelhas,Otus scops,5,5,0.7176029682159424
Mocho-Funéreo,Aegolius funereus,4,4,0.8094226717948914
Mocho-Galego,Athene noctua,1,1,0.6231098771095276
Neinei,Megarynchus pitangua,6,6,0.9729418158531189
Northern Saw-Whet Owl,Aegolius acadicus,4,4,0.880133330821991
Olive Sparrow,Arremonops rufivirgatus,1,1,0.4782905578613281
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patinho,Platyrinchus mystaceus,2,2,0.7765848636627197
Pêga-Africana,Ptilostomus afer,1,1,0.9966136813163757
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,7,7,0.7146223783493042
Perna-Verde-Comum,Tringa nebularia,3,3,0.6181214451789856
Petinha-Das-Árvores,Anthus trivialis,1,1,0.5347806811332703
Petinha-Fulva,Anthus rubescens,1,1,0.6520348191261292
Pica-Pau-Malhado,Dendrocopos major,4,4,0.8055264353752136
Pileated Woodpecker,Dryocopus pileatus,2,2,0.5660616755485535
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Purple-Throated Sunangel,Heliangelus viola,2,2,0.7608863115310669
Rock Wren,Salpinctes obsoletus,36,36,0.7940797805786133
Rufous Babbler,Argya subrufa,2,2,0.6278995275497437
Rufous-Faced Warbler,Abroscopus albogularis,2,2,0.514060378074646
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Sabiá-Ruivo,Turdus iliacus,2,2,0.5607985854148865
Saí-De-Máscara-Preta,Dacnis lineata,1,1,0.7389125227928162
Saíra-De-Papo-Preto,Hemithraupis guira,5,5,0.8598865866661072
Saracura-Sanã,Pardirallus nigricans,1,1,0.720823347568512
Saracura-Três-Potes,Aramides cajaneus,28,28,0.9989369511604309
Scarlet-Breasted Fruiteater,Pipreola frontalis,1,1,0.5362358689308167
Scrub Greenlet,Hylophilus flavipes,2,2,0.8218491673469543
Sooty Grouse,Dendragapus fuliginosus,7,7,0.7265148162841797
Spotted Elachura,Elachura formosa,4,4,0.6772977113723755
Suiriri,Tyrannus melancholicus,15,15,0.9731517434120178
Taralhão-Cinzento,Muscicapa striata,1,1,0.7547523379325867
Tawny Owl,Strix aluco,81,81,0.9854859113693237
Tico-Tico-Coroado,Zonotrichia leucophrys,149,149,0.9387251138687134
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
Tordo-Zornal,Turdus pilaris,1,1,0.5994500517845154
Tordoveia,Turdus viscivorus,1,1,0.4580613076686859
Trepadeira-Azul,Sitta europaea,1,1,0.8179213404655457
Varied Solitaire,Myadestes coloratus,10,10,0.613290011882782
White-Capped Redstart,Phoenicurus leucocephalus,1,1,0.4863486588001251
Yellowish-Bellied Bush Warbler,Horornis acanthizoides,1255,1255,0.9990580677986145
