Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Bacurau-De-Asa-Fina,Chordeiles acutipennis,3,3,0.8014328479766846
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,26,26,0.9720517992973328
Cambacica,Coereba flaveola,1,1,0.6245142817497253
Filipe,Myiophobus fasciatus,1,1,0.5300602316856384
Guaracava-De-Topete-Uniforme,Elaenia cristata,1,1,0.5683244466781616
Jacurutu,Bubo virginianus,5,5,0.9740128517150879
Maria-Cavaleira,Myiarchus ferox,1,1,0.468379944562912
Neinei,Megarynchus pitangua,6,6,0.9729418158531189
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patinho,Platyrinchus mystaceus,2,2,0.7765848636627197
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,8,8,0.7146223783493042
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Saíra-De-Papo-Preto,Hemithraupis guira,5,5,0.8598865866661072
Saracura-Sanã,Pardirallus nigricans,1,1,0.720823347568512
Saracura-Três-Potes,Aramides cajaneus,28,28,0.9989369511604309
Suiriri,Tyrannus melancholicus,15,15,0.9731517434120178
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
