Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Arara-Canindé,Ara ararauna,6,6,0.8912162780761719
Bacurau-De-Asa-Fina,Chordeiles acutipennis,3,3,0.8014328479766846
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,35,35,0.9720517992973328
Black-Banded Owl,Ciccaba huhula,1,1,0.46185755729675293
Cambacica,Coereba flaveola,1,1,0.6245142817497253
Filipe,Myiophobus fasciatus,24,24,0.998320996761322
Gavião-Carijó,Rupornis magnirostris,1,1,0.9773035645484924
Guaracava-De-Topete-Uniforme,Elaenia cristata,1,1,0.5683244466781616
Jacurutu,Bubo virginianus,38,38,0.9740128517150879
Juriti-Pupu,Leptotila verreauxi,1,1,0.4971921443939209
Maçarico-Pintado,Actitis macularius,2,2,0.5927406549453735
Maria-Cavaleira,Myiarchus ferox,1,1,0.468379944562912
Neinei,Megarynchus pitangua,7,7,0.9945068955421448
Olho-Falso,Hemitriccus diops,5,5,0.6732649207115173
Papa-Lagarta-De-Asa-Vermelha,Coccyzus americanus,2,2,0.8101537227630615
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patativa,Sporophila plumbea,1,1,0.4833432734012604
Patinho,Platyrinchus mystaceus,3,3,0.7765848636627197
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,32,32,0.9520262479782104
Pica-Pau-Branco,Melanerpes candidus,1,1,0.9024558663368225
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Quero-Quero,Vanellus chilensis,1,1,0.4856327176094055
Quiriquiri,Falco sparverius,3,3,0.5244863033294678
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Sabiá-Laranjeira,Turdus rufiventris,1,1,0.4889221787452698
Saíra-Amarela,Stilpnia cayana,2,2,0.76766437292099
Saíra-De-Papo-Preto,Hemithraupis guira,7,7,0.9196808934211731
Saíra-Ferrugem,Hemithraupis ruficapilla,1,1,0.6400505900382996
Saracura-Sanã,Pardirallus nigricans,1,1,0.720823347568512
Saracura-Três-Potes,Aramides cajaneus,53,53,0.9993917942047119
Suiriri,Tyrannus melancholicus,78,78,0.9886277318000793
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
Urutau,Nyctibius griseus,1,1,0.9148828387260437
