Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abetouro,Botaurus stellaris,1247,1247,0.9619352221488953
Akohekohe,Palmeria dolei,23,23,0.9492658376693726
Alcaravão,Burhinus oedicnemus,1,1,0.6298990249633789
Alström's Warbler,Phylloscopus soror,1,1,0.5026628375053406
Andorinhão-Preto,Apus apus,6,6,0.8401108980178833
Anna's Hummingbird,Calypte anna,1,1,0.6746816039085388
Arara-Canindé,Ara ararauna,6,6,0.8912162780761719
Arizona Toad,Anaxyrus microscaphus,2,2,0.7354673147201538
Asian Emerald Dove,Chalcophaps indica,1,1,0.6303799748420715
Bacurau-De-Asa-Fina,Chordeiles acutipennis,3,3,0.8014328479766846
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Barred Fruiteater,Pipreola arcuata,2,2,0.6965005397796631
Bem-Te-Vi,Pitangus sulphuratus,35,35,0.9720517992973328
Bico-Grossudo,Coccothraustes coccothraustes,3,3,0.9304970502853394
Black-Banded Owl,Ciccaba huhula,1,1,0.46185755729675293
Black-Streaked Puffbird,Malacoptila fulvogularis,11,11,0.944011390209198
Brown-Cheeked Fulvetta,Alcippe poioicephala,1,1,0.49722737073898315
Brown-Cheeked Rail,Rallus indicus,1,1,0.6840174198150635
Brown-Headed Nuthatch,Sitta pusilla,3,3,0.858173131942749
Bufo-Pequeno,Asio otus,2,2,0.852691113948822
Bufo-Real,Bubo bubo,7,7,0.6492519378662109
Cambacica,Coereba flaveola,1,1,0.6245142817497253
Cartaxo,Saxicola rubicola,1,1,0.5309728384017944
Chapim-Azul,Cyanistes caeruleus,1,1,0.562866747379303
Chapim-De-Mascarilha,Remiz pendulinus,1,1,0.6338320970535278
Chapim-Palustre,Poecile palustris,1,1,0.6350837349891663
Chingolito,Zonotrichia albicollis,1,1,0.45754390954971313
Cigarrinha-Ruiva,Locustella luscinioides,48,48,0.8834822773933411
Clark's Nutcracker,Nucifraga columbiana,4,4,0.9910925030708313
Clicker Round-Winged Katydid,Amblycorypha alexanderi,85,85,0.9804472923278809
Collared Aracari,Pteroglossus torquatus,1,1,0.5213237404823303
Common Virtuoso Katydid,Amblycorypha longinicta,3,3,0.9599093198776245
Common Woodshrike,Tephrodornis pondicerianus,1,1,0.608003556728363
Coruja-Dos-Urales,Strix uralensis,1,1,0.5961281657218933
Corvo,Corvus corax,1,1,0.608226478099823
Cotovia-Das-Árvores,Lullula arborea,2,2,0.7213364243507385
Cotovia-Escura,Galerida theklae,1,1,0.551060140132904
Dog,Dog,19,19,0.9232284426689148
Engine,Engine,44,44,0.9045916199684143
Escrevedeira-Amarela,Emberiza citrinella,3,3,0.6679768562316895
Estrelinha-Real,Regulus ignicapilla,1,1,0.7927843332290649
Felosa-Assobiadeira,Phylloscopus sibilatrix,1,1,0.5838454961776733
Felosa-Dos-Juncos,Acrocephalus schoenobaenus,2,2,0.7921603918075562
Ferreirinha-Siberiana,Prunella montanella,1,1,0.729873776435852
Ferruginous Flycatcher,Muscicapa ferruginea,1,1,0.4710055887699127
Filipe,Myiophobus fasciatus,24,24,0.998320996761322
Flammulated Owl,Psiloscops flammeolus,6,6,0.8226264119148254
Fork-Tailed Sunbird,Aethopyga christinae,2,2,0.5551015734672546
Francelho,Falco naumanni,1,1,0.4672609269618988
Franga-D'Água-Malhada,Porzana porzana,1,1,0.5815401673316956
Frango-D'Água,Rallus aquaticus,1,1,0.49840566515922546
Galinhola,Scolopax rusticola,6,6,0.7169927954673767
Galinhola Americana,Scolopax minor,1,1,0.47334662079811096
Garça-Moura-Europeia,Ardea cinerea,1,1,0.8864238262176514
Gavião-Carijó,Rupornis magnirostris,1,1,0.9773035645484924
Gavião-De-Asa-Larga,Buteo platypterus,6,6,0.7092365622520447
Gralha-Violácea,Cyanocorax violaceus,1,1,0.6539952158927917
Gray-Crowned Rosy-Finch,Leucosticte tephrocotis,1,1,0.5154141783714294
Guácharo,Steatornis caripensis,114,114,0.9953052401542664
Guaracava-De-Topete-Uniforme,Elaenia cristata,1,1,0.5683244466781616
Helmeted Curassow,Pauxi pauxi,22,22,0.7760168313980103
Highland Guan,Penelopina nigra,1,1,0.4836745858192444
Human Non-Vocal,Human non-vocal,2,2,0.6256434321403503
Human Vocal,Human vocal,5,5,0.5479207634925842
Indian Scops-Owl,Otus bakkamoena,2,2,0.7388670444488525
Indigo Flowerpiercer,Diglossa indigotica,1,1,0.6452518105506897
Jacurutu,Bubo virginianus,38,38,0.9740128517150879
Junco,Junco hyemalis,32,32,0.8181411623954773
Juriti-Pupu,Leptotila verreauxi,1,1,0.4971921443939209
Juruva-Ruiva,Baryphthengus martii,1,1,0.46984294056892395
Lesser Yellownape,Picus chlorolophus,3,3,0.7338806390762329
Maçarico-Das-Rochas,Actitis hypoleucos,12,12,0.6464026570320129
Madagascar Scops-Owl,Otus rutilus,1,1,0.49299418926239014
Maria-Cavaleira,Myiarchus ferox,1,1,0.468379944562912
Marrequinha,Anas crecca,1,1,0.5818195939064026
Middle American Screech-Owl,Megascops guatemalae,32,32,0.7491045594215393
Milheirinha-Europeia,Serinus serinus,1,1,0.7967320084571838
Military Macaw,Ara militaris,1,1,0.6980661153793335
Mobelha-Grande,Gavia immer,1,1,0.8440211415290833
Mocho-D'Orelhas,Otus scops,6,6,0.7176029682159424
Mocho-Funéreo,Aegolius funereus,5,5,0.8094226717948914
Mocho-Galego,Athene noctua,1,1,0.6231098771095276
Mountain Chickadee,Poecile gambeli,1,1,0.6031898260116577
Mutum-Do-Norte,Mitu tomentosum,6,6,0.9347524642944336
Neinei,Megarynchus pitangua,7,7,0.9945068955421448
New Zealand Fantail,Rhipidura fuliginosa,1,1,0.6458672881126404
Northern Potoo,Nyctibius jamaicensis,1,1,0.5064594745635986
Northern Saw-Whet Owl,Aegolius acadicus,6,6,0.880133330821991
Olho-Falso,Hemitriccus diops,5,5,0.6732649207115173
Olive Sparrow,Arremonops rufivirgatus,1,1,0.4782905578613281
Orange-Crowned Warbler,Leiothlypis celata,3,3,0.7156987190246582
Papa-Lagarta-De-Asa-Vermelha,Coccyzus americanus,2,2,0.8101537227630615
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patativa,Sporophila plumbea,1,1,0.4833432734012604
Patinho,Platyrinchus mystaceus,3,3,0.7765848636627197
Pêga-Africana,Ptilostomus afer,1,1,0.9966136813163757
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,31,31,0.9520262479782104
Perna-Verde-Comum,Tringa nebularia,3,3,0.6181214451789856
Petinha-Das-Árvores,Anthus trivialis,1,1,0.5347806811332703
Petinha-Fulva,Anthus rubescens,43,43,0.9598248600959778
Petinha-Ribeirinha,Anthus spinoletta,8,8,0.7884415984153748
Pica-Pau-Branco,Melanerpes candidus,1,1,0.9024558663368225
Pica-Pau-Malhado,Dendrocopos major,4,4,0.8055264353752136
Pileated Woodpecker,Dryocopus pileatus,2,2,0.5660616755485535
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Purple-Throated Sunangel,Heliangelus viola,13,13,0.9042782783508301
Quero-Quero,Vanellus chilensis,1,1,0.4856327176094055
Quiriquiri,Falco sparverius,3,3,0.5244863033294678
Rock Wren,Salpinctes obsoletus,296,296,0.976874589920044
Rufous Babbler,Argya subrufa,2,2,0.6278995275497437
Rufous-Cheeked Nightjar,Caprimulgus rufigena,2,2,0.6641584038734436
Rufous-Faced Warbler,Abroscopus albogularis,21,21,0.8011384606361389
Ryukyu Scops-Owl,Otus elegans,1,1,0.7727096080780029
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Sabiá-Laranjeira,Turdus rufiventris,1,1,0.4889221787452698
Sabiá-Ruivo,Turdus iliacus,2,2,0.5607985854148865
Saí-De-Máscara-Preta,Dacnis lineata,1,1,0.7389125227928162
Saíra-Amarela,Stilpnia cayana,2,2,0.76766437292099
Saíra-De-Papo-Preto,Hemithraupis guira,7,7,0.9196808934211731
Saíra-Ferrugem,Hemithraupis ruficapilla,1,1,0.6400505900382996
Saracura-Sanã,Pardirallus nigricans,1,1,0.720823347568512
Saracura-Três-Potes,Aramides cajaneus,53,53,0.9993917942047119
Scarlet-Breasted Fruiteater,Pipreola frontalis,1,1,0.5362358689308167
Scrub Greenlet,Hylophilus flavipes,5,5,0.8386386632919312
Slender Meadow Katydid,Conocephalus fasciatus,317,317,0.9914270639419556
Sooty Grouse,Dendragapus fuliginosus,14,14,0.7265148162841797
Southeastern Field Cricket,Gryllus rubens,27,27,0.6871629953384399
Spotted Elachura,Elachura formosa,6,6,0.8432415723800659
Suiriri,Tyrannus melancholicus,78,78,0.9886277318000793
Taralhão-Cinzento,Muscicapa striata,1,1,0.7547523379325867
Tawny Owl,Strix aluco,132,132,0.9854859113693237
Tico-Tico-Coroado,Zonotrichia leucophrys,1424,1424,0.9750279188156128
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
Tordo-Pinto,Turdus philomelos,1,1,0.48584821820259094
Tordo-Zornal,Turdus pilaris,1,1,0.5994500517845154
Tordoveia,Turdus viscivorus,3,3,0.6365311145782471
Torom-De-Peito-Pardo,Myrmothera simplex,1,1,0.6031488180160522
Trepadeira-Azul,Sitta europaea,1,1,0.8179213404655457
Trepadeira-Do-Sul,Certhia brachydactyla,1,1,0.6093116402626038
Trumpeter Swan,Cygnus buccinator,1,1,0.6150803565979004
Urutau,Nyctibius griseus,1,1,0.9148828387260437
Varied Solitaire,Myadestes coloratus,10,10,0.613290011882782
Western Screech-Owl,Megascops kennicottii,2,2,0.8872830271720886
White-Bellied Erpornis,Erpornis zantholeuca,1,1,0.6722946763038635
White-Capped Redstart,Phoenicurus leucocephalus,1,1,0.4863486588001251
White-Whiskered Hermit,Phaethornis yaruqui,1,1,0.5671903491020203
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii,2,2,0.5794227719306946
Yellowish-Bellied Bush Warbler,Horornis acanthizoides,2050,2050,0.9990580677986145
