File,Detection start,Detection end,Common name,Latin name,Confidence,Label,Comment,Call count,File offset,Start (s),Latitude,Longitude,Place,Model
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250422_211000.WAV,2025-04-22 18:10:00.000,2025-04-22 18:10:03.000,Sabiá-Barranco,Turdus leucomelas,0.9579227566719055,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_091000.WAV,2025-04-23 06:10:00.000,2025-04-23 06:10:03.000,Suiriri,Tyrannus melancholicus,0.8547930121421814,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_091000.WAV,2025-04-23 06:10:24.000,2025-04-23 06:10:27.000,Suiriri,Tyrannus melancholicus,0.8906865119934082,,,,00:00:24,24,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_091000.WAV,2025-04-23 06:10:36.000,2025-04-23 06:10:39.000,Suiriri,Tyrannus melancholicus,0.5878794193267822,,,,00:00:36,36,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_111000.WAV,2025-04-23 08:10:27.000,2025-04-23 08:10:30.000,Balança-Rabo-De-Máscara,Polioptila dumicola,0.47327056527137756,,,,00:00:27,27,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_111000.WAV,2025-04-23 08:10:30.000,2025-04-23 08:10:33.000,Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,0.6176028847694397,,,,00:00:30,30,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:00.000,2025-04-23 08:40:03.000,Saracura-Três-Potes,Aramides cajaneus,0.9798154830932617,,,,00:00:00,0,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:03.000,2025-04-23 08:40:06.000,Saracura-Três-Potes,Aramides cajaneus,0.9915715456008911,,,,00:00:03,3,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:06.000,2025-04-23 08:40:09.000,Saracura-Três-Potes,Aramides cajaneus,0.9989369511604309,,,,00:00:06,6,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:09.000,2025-04-23 08:40:12.000,Saracura-Três-Potes,Aramides cajaneus,0.995698869228363,,,,00:00:09,9,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:12.000,2025-04-23 08:40:15.000,Saracura-Três-Potes,Aramides cajaneus,0.9968960285186768,,,,00:00:12,12,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:15.000,2025-04-23 08:40:18.000,Saracura-Três-Potes,Aramides cajaneus,0.9639857411384583,,,,00:00:15,15,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:18.000,2025-04-23 08:40:21.000,Saracura-Três-Potes,Aramides cajaneus,0.9960638880729675,,,,00:00:18,18,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:21.000,2025-04-23 08:40:24.000,Saracura-Três-Potes,Aramides cajaneus,0.9685304760932922,,,,00:00:21,21,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:27.000,2025-04-23 08:40:30.000,Saracura-Três-Potes,Aramides cajaneus,0.9856230020523071,,,,00:00:27,27,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:30.000,2025-04-23 08:40:33.000,Saracura-Três-Potes,Aramides cajaneus,0.9898063540458679,,,,00:00:30,30,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:33.000,2025-04-23 08:40:36.000,Saracura-Três-Potes,Aramides cajaneus,0.7836065888404846,,,,00:00:33,33,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:36.000,2025-04-23 08:40:39.000,Saracura-Três-Potes,Aramides cajaneus,0.9820631146430969,,,,00:00:36,36,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:39.000,2025-04-23 08:40:42.000,Saracura-Três-Potes,Aramides cajaneus,0.9807528853416443,,,,00:00:39,39,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:42.000,2025-04-23 08:40:45.000,Saracura-Três-Potes,Aramides cajaneus,0.8352636098861694,,,,00:00:42,42,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:45.000,2025-04-23 08:40:48.000,Saracura-Três-Potes,Aramides cajaneus,0.9093081951141357,,,,00:00:45,45,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:48.000,2025-04-23 08:40:51.000,Saracura-Três-Potes,Aramides cajaneus,0.9383811950683594,,,,00:00:48,48,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:51.000,2025-04-23 08:40:54.000,Saracura-Três-Potes,Aramides cajaneus,0.989249587059021,,,,00:00:51,51,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:54.000,2025-04-23 08:40:57.000,Saracura-Três-Potes,Aramides cajaneus,0.9883859157562256,,,,00:00:54,54,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_084000.WAV,2025-04-23 08:40:57.000,2025-04-23 08:41:00.000,Saracura-Três-Potes,Aramides cajaneus,0.9755984544754028,,,,00:00:57,57,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_195000.WAV,2025-04-23 16:50:15.000,2025-04-23 16:50:18.000,Patinho,Platyrinchus mystaceus,0.4663645923137665,,,,00:00:15,15,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250423_200000.WAV,2025-04-23 17:00:18.000,2025-04-23 17:00:21.000,Bem-Te-Vi,Pitangus sulphuratus,0.6213301420211792,,,,00:00:18,18,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250424_101000.WAV,2025-04-24 07:10:15.000,2025-04-24 07:10:18.000,Periquito-De-Encontro-Amarelo,Brotogeris chiriri,0.5368199944496155,,,,00:00:15,15,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250424_171000.WAV,2025-04-24 14:10:12.000,2025-04-24 14:10:15.000,Bem-Te-Vi,Pitangus sulphuratus,0.5061583518981934,,,,00:00:12,12,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250425_114000.WAV,2025-04-25 08:40:09.000,2025-04-25 08:40:12.000,Bem-Te-Vi,Pitangus sulphuratus,0.5538303256034851,,,,00:00:09,9,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
C:\Users\Roberto Cavalcanti\Documents\projeto-vitoria-araujo-bioacustica-2026-06\audiomoth-co-2025-0712-reserva-1semana\20250425_114000.WAV,2025-04-25 08:40:30.000,2025-04-25 08:40:33.000,Bem-Te-Vi,Pitangus sulphuratus,0.757265031337738,,,,00:00:30,30,-15.7648,-47.8561,"Viveiro de Plantas Medicinais, Asa Norte",birdnet
