Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Abetouro,Botaurus stellaris,139,139,0.961113691329956
Akohekohe,Palmeria dolei,3,3,0.5284330248832703
Andorinhão-Preto,Apus apus,2,2,0.5500481128692627
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,11,11,0.9556260704994202
Black-Streaked Puffbird,Malacoptila fulvogularis,2,2,0.6462112665176392
Brown-Cheeked Fulvetta,Alcippe poioicephala,1,1,0.49722737073898315
Brown-Headed Nuthatch,Sitta pusilla,1,1,0.48496755957603455
Bufo-Real,Bubo bubo,2,2,0.6492519378662109
Cartaxo,Saxicola rubicola,1,1,0.5309728384017944
Chapim-De-Mascarilha,Remiz pendulinus,1,1,0.6338320970535278
Chapim-Palustre,Poecile palustris,1,1,0.6350837349891663
Collared Aracari,Pteroglossus torquatus,1,1,0.5213237404823303
Escrevedeira-Amarela,Emberiza citrinella,2,2,0.6679768562316895
Felosa-Assobiadeira,Phylloscopus sibilatrix,1,1,0.5838454961776733
Ferreirinha-Siberiana,Prunella montanella,1,1,0.729873776435852
Ferruginous Flycatcher,Muscicapa ferruginea,1,1,0.4710055887699127
Francelho,Falco naumanni,1,1,0.4672609269618988
Galinhola,Scolopax rusticola,1,1,0.5700165629386902
Garça-Moura-Europeia,Ardea cinerea,1,1,0.8864238262176514
Guácharo,Steatornis caripensis,51,51,0.9541594386100769
Lesser Yellownape,Picus chlorolophus,3,3,0.7338806390762329
Maçarico-Das-Rochas,Actitis hypoleucos,1,1,0.5600966811180115
Mobelha-Grande,Gavia immer,1,1,0.8440211415290833
Mocho-D'Orelhas,Otus scops,2,2,0.5796436667442322
Mocho-Funéreo,Aegolius funereus,3,3,0.64663165807724
Northern Saw-Whet Owl,Aegolius acadicus,3,3,0.880133330821991
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patinho,Platyrinchus mystaceus,1,1,0.4663645923137665
Pêga-Africana,Ptilostomus afer,1,1,0.9966136813163757
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,1,1,0.5368199944496155
Perna-Verde-Comum,Tringa nebularia,3,3,0.6181214451789856
Pica-Pau-Malhado,Dendrocopos major,4,4,0.8055264353752136
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Purple-Throated Sunangel,Heliangelus viola,2,2,0.7608863115310669
Rock Wren,Salpinctes obsoletus,2,2,0.4690825939178467
Rufous Babbler,Argya subrufa,1,1,0.6278995275497437
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Saí-De-Máscara-Preta,Dacnis lineata,1,1,0.7389125227928162
Saracura-Três-Potes,Aramides cajaneus,28,28,0.9989369511604309
Scarlet-Breasted Fruiteater,Pipreola frontalis,1,1,0.5362358689308167
Scrub Greenlet,Hylophilus flavipes,2,2,0.8218491673469543
Sooty Grouse,Dendragapus fuliginosus,3,3,0.7265148162841797
Spotted Elachura,Elachura formosa,4,4,0.6772977113723755
Suiriri,Tyrannus melancholicus,4,4,0.9731517434120178
Tawny Owl,Strix aluco,56,56,0.9854859113693237
Tico-Tico-Coroado,Zonotrichia leucophrys,1,1,0.511931836605072
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
Trepadeira-Azul,Sitta europaea,1,1,0.8179213404655457
Varied Solitaire,Myadestes coloratus,9,9,0.613290011882782
White-Capped Redstart,Phoenicurus leucocephalus,1,1,0.4863486588001251
Yellowish-Bellied Bush Warbler,Horornis acanthizoides,618,618,0.9990580677986145
