Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,11,11,0.9556260704994202
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patinho,Platyrinchus mystaceus,1,1,0.4663645923137665
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,1,1,0.5368199944496155
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Saracura-Três-Potes,Aramides cajaneus,28,28,0.9989369511604309
Suiriri,Tyrannus melancholicus,4,4,0.9731517434120178
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
