Nome Comum,Nome Científico,Detecções,Chamadas,Máximo
Bacurau-De-Asa-Fina,Chordeiles acutipennis,3,3,0.8014328479766846
Balança-Rabo-De-Chapéu-Preto/De-Roraima/Do-Acre/Do-Nordeste,Polioptila plumbea,1,1,0.6176028847694397
Balança-Rabo-De-Máscara,Polioptila dumicola,1,1,0.47327056527137756
Bem-Te-Vi,Pitangus sulphuratus,27,27,0.9720517992973328
Cambacica,Coereba flaveola,1,1,0.6245142817497253
Filipe,Myiophobus fasciatus,8,8,0.9953582882881165
Guaracava-De-Topete-Uniforme,Elaenia cristata,1,1,0.5683244466781616
Jacurutu,Bubo virginianus,11,11,0.9740128517150879
Juriti-Pupu,Leptotila verreauxi,1,1,0.4971921443939209
Maria-Cavaleira,Myiarchus ferox,1,1,0.468379944562912
Neinei,Megarynchus pitangua,7,7,0.9945068955421448
Olho-Falso,Hemitriccus diops,5,5,0.6732649207115173
Papagaio-De-Peito-Roxo,Amazona vinacea,1,1,0.5171412229537964
Papagaio-Verdadeiro,Amazona aestiva,1,1,0.5777580142021179
Patinho,Platyrinchus mystaceus,2,2,0.7765848636627197
Periquito-De-Encontro-Amarelo,Brotogeris chiriri,15,15,0.7717040181159973
Pitiguari,Cyclarhis gujanensis,1,1,0.4505651295185089
Quero-Quero,Vanellus chilensis,1,1,0.4856327176094055
Quiriquiri,Falco sparverius,1,1,0.5230044722557068
Sabiá-Barranco,Turdus leucomelas,1,1,0.9579227566719055
Saíra-De-Papo-Preto,Hemithraupis guira,6,6,0.9196808934211731
Saracura-Sanã,Pardirallus nigricans,1,1,0.720823347568512
Saracura-Três-Potes,Aramides cajaneus,51,51,0.9993917942047119
Suiriri,Tyrannus melancholicus,54,54,0.9810123443603516
Tico-Tico-Rei,Coryphospingus cucullatus,1,1,0.527044951915741
